340.85,340.85,340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.35,363.47,363.47,340.35,363.47,363.47,363.47,356.32,356.32,356.32,356.32,356.32,356.32,363.47,363.47,363.47,363.47,363.47,363.47,340.35,340.35,356.32,340.85,340.35,363.47,363.47,340.35,340.35,340.85,340.85,363.47,363.47,340.85,340.85,340.85,340.35,340.35,363.47,363.47,340.85,340.85,340.85,363.47,363.47,340.35,340.85,340.85,340.85,363.47,340.35,340.35,340.35,340.35,363.47,340.35,340.35,340.35,356.32,340.35,340.85,340.85,340.85,340.35,340.35,363.47,340.85,340.85,340.85,340.85,340.85,340.85,363.47,-nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
-nan,363.47,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,363.47,363.47,340.85,340.85,340.85,363.47,363.47,340.85,340.85,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
340.85,340.35,340.35,340.35,363.47,340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.35,363.47,363.47,363.47,340.35,340.35,340.35,340.35,356.32,356.32,363.47,363.47,340.35,363.47,363.47,363.47,340.35,340.35,356.32,340.85,340.35,363.47,363.47,363.47,340.35,340.35,363.47,340.35,340.85,340.85,340.85,340.85,340.35,363.47,363.47,363.47,363.47,340.85,363.47,363.47,363.47,340.85,340.85,363.47,363.47,363.47,340.85,340.85,340.85,340.85,340.85,340.85,340.85,356.32,356.32,340.35,340.85,340.85,340.85,340.35,340.35,340.35,340.85,340.85,340.85,340.85,340.85,340.85,363.47,-nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
-nan,363.47,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,363.47,363.47,340.85,340.85,340.85,340.35,363.47,340.85,340.85,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.35,356.32,340.35,340.35,363.47,363.47,363.47,363.47,363.47,356.32,356.32,363.47,363.47,340.35,340.35,340.35,340.35,340.35,340.35,356.32,340.85,340.35,363.47,363.47,340.85,363.47,340.35,356.32,340.85,340.85,340.85,340.85,340.35,340.35,363.47,363.47,363.47,340.85,340.85,340.85,363.47,363.47,340.85,340.85,340.85,340.85,363.47,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.35,340.35,340.35,363.47,340.85,340.85,340.35,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,363.47,-nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
-nan,363.47,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.35,363.47,363.47,340.35,340.85,340.85,340.35,363.47,363.47,340.85,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
340.35,363.47,363.47,363.47,363.47,340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.35,363.47,340.35,363.47,363.47,340.35,340.35,363.47,340.35,356.32,363.47,340.35,340.35,340.35,340.35,340.35,340.35,340.35,340.85,340.85,340.35,363.47,340.35,340.85,363.47,340.85,340.85,340.85,340.85,340.85,340.85,363.47,363.47,340.85,363.47,363.47,363.47,340.85,340.85,340.35,363.47,340.85,340.85,340.85,363.47,340.35,340.35,340.85,340.85,363.47,340.85,340.85,340.85,340.85,363.47,363.47,363.47,340.85,340.85,340.85,363.47,340.85,340.85,340.85,340.85,340.85,340.85,340.85,363.47,-nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
-nan,363.47,340.85,340.85,340.85,363.47,340.35,340.85,340.35,340.85,363.47,363.47,363.47,340.85,340.35,363.47,363.47,363.47,340.35,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,340.35,363.47,363.47,340.35,340.35,363.47,340.35,356.32,363.47,363.47,340.35,340.35,340.35,340.35,340.35,340.35,340.85,340.85,340.35,363.47,340.35,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,363.47,363.47,340.85,340.85,340.85,363.47,363.47,340.85,340.85,340.85,340.85,363.47,340.35,340.35,340.85,340.35,340.85,340.85,340.85,340.85,363.47,363.47,363.47,340.85,340.85,340.85,363.47,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,-nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
-nan,363.47,340.85,340.85,340.85,363.47,340.85,340.85,340.35,340.85,363.47,363.47,340.85,340.85,340.85,363.47,363.47,363.47,363.47,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,340.35,363.47,363.47,340.35,340.35,363.47,340.35,356.32,363.47,363.47,340.35,340.35,340.35,340.35,340.35,340.35,340.85,340.85,340.35,363.47,340.35,340.85,356.32,340.85,363.47,363.47,363.47,363.47,340.85,363.47,363.47,363.47,363.47,363.47,340.85,340.85,340.85,363.47,363.47,340.85,340.85,340.85,340.85,363.47,340.35,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,340.85,363.47,340.85,340.35,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,-nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
-nan,363.47,340.85,340.85,363.47,363.47,363.47,363.47,340.35,340.35,363.47,363.47,340.35,340.85,340.85,340.35,363.47,340.35,340.85,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,340.35,340.35,340.35,340.35,363.47,340.35,363.47,363.47,340.35,340.35,363.47,340.35,340.85,363.47,363.47,340.35,340.35,340.35,340.35,340.35,340.35,340.85,340.85,340.35,363.47,340.35,356.32,356.32,340.85,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,340.35,363.47,340.85,340.35,340.85,363.47,363.47,340.85,340.85,340.85,340.85,340.85,340.85,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,363.47,340.85,340.85,340.85,340.85,363.47,340.85,340.85,340.85,340.85,340.85,340.85,340.85,340.85,-nan,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
